STT,CID,SMILES,IC50 (uM),"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
594,117698233,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC=C(C=C4)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
595,117698235,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C#N,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
596,117698239,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)C(F)(F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
597,117698251,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
598,117698259,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)C#N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
599,117698356,C1=CC=C(C=C1)C2=CC(=CC=C2)NC3=C(OC4=C3C=CN=C4)N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
600,117698368,C1=CC2=C(C=C1C#N)OC(=C2NC3=CC(=C(C=C3)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
601,117698404,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
602,117698408,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
603,117698424,CC(C)CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
604,117698431,C1=CC2=C(C(=C1)C3=CC=C(C=C3)C#N)SC(=C2NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,,,,,,,,,,,,,x,,,,,,,,
605,117698433,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
606,117698461,C1=CC=C(C=C1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
607,117698473,C1CCC(CC1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
608,117698488,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=C(C=C4)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
609,117698489,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
610,117698498,C1OC2=C(O1)C=C(C=C2)NC3=C(OC4=C3C=CN=C4)N,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
611,117698503,C1=CC2=C(C(=C1)Br)SC(=C2NC3=CC(=C(C=C3)F)Cl)N,"0,2",,,,,,,,,,,,,,,,,x,,,,,,,,
612,117698536,C1=CC(=C(C=C1NC2=C(SC3=C2C=CN=C3)N)Cl)F,1,,,,,,,,,,,,,,,,,x,,,,,,,,
613,117698545,CCCCNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
614,117698558,C1=CC=C2C(=C1)C(=C(S2)N)OC3=CC(=CC=C3)Cl,1,,,,,,,,,,,,,,,,,x,,,,,,,,
615,117698560,CCCCCNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
616,117698576,C1CCN(CC1)C(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
617,117698595,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)C(F)(F)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
618,117698610,C1=CC(=C(C=C1NC2=C3C=CN(C=C3OC2=N)O)Cl)F,"0,3333333333",,,,,,,,,,,,,,,,,,,,,,,,,x
619,117698620,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)F)N)C(F)(F)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
620,117698623,C1=CC=C(C=C1)CC2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
621,117698638,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)C(=O)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
622,117698703,C1=CC=C(C(=C1)NC2=C(OC3=C2C=CC(=C3)C#N)N)Cl,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
623,117698714,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
624,117698721,C1=CC(=CC(=C1)Br)NC2=C(OC3=C2C=CC(=C3)C#N)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
625,117698734,C1COCCN1CCNC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
626,117698756,CC1=NC=CC(=C1)C2=CC=CC3=C2SC(=C3NC4=CC=CC=C4)N,"0,2",,,,,,,,,,,,,,,,,x,,,,,,,,
627,117698772,C1=CC(=CC=C1NC2=C(OC3=CN=C(C=C32)F)N)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
628,117698776,C1=CC(=CC(=C1)C(F)(F)F)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
629,117698821,C1=CC=C(C(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
630,117698822,C1=CC=C(C(=C1)NC2=C(OC3=C2C=CN=C3C#N)N)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
631,117698826,CCC1=CC=CC=C1NC2=C(SC3=CC=CC=C32)N,1,,,,,,,,,,,,,,,,,x,,,,,,,,
632,117704748,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=CC(=C4)Cl)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
633,117704749,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C(=CC=C4)Cl)F)N,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
634,117704750,CC(C)OC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4,1,,,,,x,,,,,,,,,,,,,,,,,,,,
635,117704751,CC(C)(C)OC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4,1,,,,,x,,,,,,,,,,,,,,,,,,,,
636,117704752,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
637,117704753,C1=CC(=CN=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
638,117704754,C1=CC=C(C(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
639,117704780,C1=CC=C(C=C1)C2=CC3=C(C=C2)SC(=C3NC4=CC(=C(C=C4)F)Cl)N,1,,,,,,,,,,,,,,,,,x,,,,,,,,
640,117704781,CCOC(=O)NC1=C(C2=C(O1)C=NC=C2)NC3=CC(=C(C=C3)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
641,117704782,CCOC(=O)NC1=C(C2=C(O1)C=NC=C2)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
642,117704784,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)I)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
643,117704785,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#CC3=CC=C(C=C3)C(=O)N)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
644,117704786,CCC1=NC=CC2=C1OC(=C2NC3=CC(=C(C=C3)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
645,117704787,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)F)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
646,117704788,COC1=NC=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
647,117704789,C1=CC=C(C=C1)C2=C3C(=CC(=N2)OC4=CC=CC=C4)C(=C(O3)N)NC5=CC(=C(C=C5)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
648,117704790,CC1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
649,117704791,CC1=C2C(=CC(=N1)OC)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
650,117704793,CCCC1=NC=CC2=C1OC(=C2NC3=CC(=C(C=C3)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
651,117704794,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
652,117704796,CC(=O)C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
653,117704797,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)C(F)(F)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
654,117704798,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)Br,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
655,117704799,CC1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
656,117704800,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Br)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
657,117704801,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
658,117704802,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#N)N(C3=CC(=C(C=C3)F)C(F)(F)F)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
659,117704803,C1=CC(=C(C=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
660,117704804,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)Br)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
661,117704805,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C(=C(C=C4)F)F)F)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
662,117704807,CC(C)(C)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
663,117704813,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
664,117704814,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC3=C(OC4=C3C=CN=C4)N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
665,117704815,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
666,117704816,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)F,1,,,,,x,,,,,,,,,,,,,,,,,,,,
667,117704817,CC1=CC(=CC=C1)NC2=C(OC3=C2C=CN=C3)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
668,117704821,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
669,117704822,C1CCC2=C(C1)C=CC=C2NC3=C(OC4=C3C=CN=C4)N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
670,117704823,CC1=NC=CC(=C1)C2=CC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
671,117704824,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C(=C3)Br)F)F,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
672,117704825,C1=CC=C(C=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
673,117704828,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)Cl)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
674,117704831,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)F)F,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
675,117704834,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
676,117704835,CC1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
677,117704836,C1=CC=C2C=C(C=CC2=C1)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
678,117704837,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
679,117704838,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Br,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
680,117704842,C1=CC(=C(C=C1NC2=C(OC3=CN=CC(=C32)Cl)N)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
681,117704843,C1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=CC(=C3)F)F)C#N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
682,117704847,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
683,117704848,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
684,117704853,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=CC=C4)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
685,117704854,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=C(C=C4)F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
686,117704856,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)F)F,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
687,117704858,C1COCCN1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
688,117704862,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C(=NC=C3)C#N)NC4=CC(=C(C=C4)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
689,117704863,C1COCCN1C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
690,117704865,CN1C=C(C=N1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
691,117704866,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
692,117704867,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC(=C(C=C3)F)F,"0,2",,,,,,,,,,,,,,,,,x,,,,,,,,
693,117704868,CC1=CC(=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)C,1,,,,,x,,,,,,,,,,,,,,,,,,,,
694,117704869,C1=CC(=C(C=C1Cl)NC2=C(OC3=C2C=CN=C3)N)Cl,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
695,117704870,C1=CC=C(C(=C1)NC2=C(OC3=CN=C(C=C32)F)N)Cl,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
696,117704871,C1=CC(=CC(=C1)Cl)NC2=C(OC3=CN=C(C=C32)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
697,117704873,C1=CC(=CC(=C1)Cl)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
698,117704874,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
699,117704875,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)F)N)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
700,117704876,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=C(C=C4)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
701,117704877,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
702,117704878,C1=CC(=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
703,117704879,CC1=CC2=C(C=C1)SC(=C2NC3=CC(=C(C=C3)F)F)N,"0,3333333333",,,,,,,,,,,,,,,,,x,,,,,,,,
704,117704880,C1=CC(=CC=C1C#N)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
705,117704881,C1=CC(=CC(=C1)NC2=C(OC3=CN=C(C=C32)F)N)C(F)(F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
706,117704882,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
707,117704884,C1=CC2=C(C(=C1)C3=CC=NC=C3)SC(=C2NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,,,,,,,,,,,,,x,,,,,,,,
708,117704885,C1=CC=NC(=C1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
709,117704886,CC1=CC(=CC(=N1)C)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
710,117704887,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=CC=C4)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
711,117704888,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)NC4=CC(=C(C=C4)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
712,117704891,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=CC=C3)NC4=CC(=C(C=C4)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
713,117704892,CCOC(=O)NC1=C(C2=CC=CC=C2S1)NC3=CC(=C(C=C3)F)Cl,1,,,,,,,,,,,,,,,,,x,,,,,,,,
714,117704893,C1OC2=C(O1)C=C(C=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
715,117704895,CCC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
716,117704902,CC1=CC(=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)C,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
717,117704903,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C=CC(=C4)F)Cl)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
718,117704926,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC=CC(=C3)C(F)(F)F,"0,2",,,,,,,,,,,,,,,,,x,,,,,,,,
719,117704927,C1=CC(=C(C=C1NC2=C(SC3=C2C=C(C=C3)Cl)N)C(F)(F)F)F,"0,3333333333",,,,,,,,,,,,,,,,,x,,,,,,,,
720,117704928,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C=NC=C3)NC4=CC(=C(C=C4)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
721,117704929,CC1=C(C(=CC=C1)NC2=C(SC3=CC=CC=C32)N)C,"0,7333333333",,,,,,,,,,,,,,,,,x,,,,,,,,
722,117704930,C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
723,117704931,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=C(C=C3)C(=O)N)NC4=CC(=C(C=C4)F)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
724,117704932,CC(C)(C)C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(C)(C)C,1,,,,,x,,,,,,,,,,,,,,,,,,,,
725,117704933,CC1=C(C=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)Cl,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
726,117704934,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)Cl,1,,,,,x,,,,,,,,,,,,,,,,,,,,
727,117704935,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)OC(F)(F)F,1,,,,,x,,,,,,,,,,,,,,,,,,,,
728,117704936,C1=CC(=CN=C1)NC2=C(OC3=C2C=CN=C3)N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
729,117704937,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
730,117704938,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Cl)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
731,117704939,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C=C3F)F)Cl,"0,7333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
732,117704941,C1=CN=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=CC(=C4)F)F)N,"0,3333333333",,,,,x,,,,,,,,,,,,,,,,,,,,
733,117704942,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)F)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
734,117704943,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC(=NC(=C4)F)F)N)Cl)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
735,117704950,C1=CC=C(C=C1)CC2=CC(=CC=C2)NC3=C(OC4=C3C=CN=C4)N,1,,,,,x,,,,,,,,,,,,,,,,,,,,
736,117704951,CCC1=NC=CC2=C1OC(=C2NC3=CC=CC(=C3)C(F)(F)F)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
737,117704956,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
738,117704960,C#CC1=C(C=CC(=C1)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
739,117704961,CCCCOC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4,1,,,,,x,,,,,,,,,,,,,,,,,,,,
740,117704962,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=CC(=C3)C#N)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
741,117704963,C#CC1=C(C=CC(=C1)NC2=C(OC3=C2C=CN=C3C4=CC=CC=C4)N)F,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
742,117704964,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#N)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
743,117704965,COC(=O)NC1=C(C2=C(O1)C=NC=C2)N(C3=CC(=C(C=C3)F)Cl)C(=O)OC,1,,,,,x,,,,,,,,,,,,,,,,,,,,
744,117704966,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
745,117704967,C1=CC=C2C(=C1)C=CC=C2C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,"0,2",,,,,x,,,,,,,,,,,,,,,,,,,,
