STT,CID,SMILES,IC50 (uM),Substructures
951,121332757,CC1=C(C=C(C=C1)NC(=O)NC2=C(C=CC(=C2)C3=CC(=C(C=C3)OC)C(=O)O)OC4=CC=CC5=C4CCCC5)C,0.92,"1,3-diphenylurea"
952,121332773,CC1=CC=C(C=C1)NC(=O)NC2=C(C=CC(=C2)C3=CC(=C(C=C3)OC)C(=O)O)OC4=CC=CC(=C4C)OCC#C,0.235,"1,3-diphenylurea"
953,121332779,CC1=CC(=CC=C1)NC(=O)NC2=C(C=CC(=C2)C3=CC(=C(C=C3)OC)C(=O)O)OC4=CC=CC(=C4C)C,0.66,"1,3-diphenylurea"
954,121332781,CC1=CC=CC=C1NC(=O)NC2=C(C=CC(=C2)C3=CC(=C(C=C3)OC)C(=O)O)OC4=CC=CC5=C4CCC5,0.53,"1,3-diphenylurea"
955,121339531,CCCOC1=C(C=C(C=C1Br)C2=CC=CC=C2C3=NNN=N3)NC(=O)NC4=CC=C(C=C4)C,0.06,"1,3-diphenylurea"
956,121339532,CCCCCC1=C(C(=CC(=C1)C2=CC=CC=C2C3=NNN=N3)NC(=O)NC4=CC=C(C=C4)C)OCCC,0.02,"1,3-diphenylurea"
957,121339533,CCCCCC1=C(C(=CC(=C1)C2=CC=CC=C2C3=NNN=N3)NC(=O)NC4=CC=CC=C4F)OCCC,0.05,"1,3-diphenylurea"
958,121339537,CCCC(CCC)OC1=C(C=C(C=C1Br)C2=CC=CC=C2C3=NNN=N3)NC(=O)NC4=CC=CC=C4F,0.003745,"1,3-diphenylurea"
959,121339539,CCCOC1=C(C=C(C=C1NC(=O)NC2=CC=CC=C2F)C3=CC=CC=C3C4=NNN=N4)C/C=C/CC,0.00649,"1,3-diphenylurea"
960,121339560,CCCC(C1=CC=CC=C1Cl)OC2=C(C=C(C=C2)C3=CC=CC=C3C4=NNN=N4)NC(=O)NC5=CC=C(C=C5)C,0.61,"1,3-diphenylurea"
961,121339561,C1CC1CC2=C(C(=CC(=C2)C3=CC=CC=C3C4=NNN=N4)NC(=O)NC5=CC=C(C=C5)C6CC6)OCCC(F)(F)F,0.04,"1,3-diphenylurea"
962,121339565,C1CC1CC2=C(C(=CC(=C2)C3=CC=CC=C3C4=NNN=N4)NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)OCCC(F)(F)F,0.09,"1,3-diphenylurea"
963,121339568,C1CC1CC2=C(C(=CC(=C2)C3=CC=CC=C3C4=NNN=N4)NC(=O)NC5=CC=C(C=C5)OC(F)(F)F)OCC6CC6,0.03,"1,3-diphenylurea"
964,122368191,C1=CC=C2C(=C1)C(=O)C3=C(C2=O)N=C(N3)C4=CC=NC=C4,0.048,"Imidazole; Naphtho(2,3-d)imidazole-4,9-dione"
965,122498731,C1C2CC3CC1CC(C2)(C3)C(CC4C5=C(C=CC=C5F)C6=CN=CN46)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
966,122498974,CC1(C2CC3CC1CC(C3)(C2)C(CC4C5=CC=CC=C5C6=CN=CN46)O)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
967,122498993,C1C2CC3CC1CC(C2)(C3)C(CC4C5=CC=CC=C5C6=CN=CN46)O,0.3,"Imidazole; 5H-imidazo(5,1-a)isoindole"
968,122499030,C1C2CC3CC(C2)(CC1C3O)C(=O)CC4C5=C(C=CC=C5F)C6=CN=CN46,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
969,122499089,C1CCC(CC1)CC(=O)NC2C3CC4CC2CC(C4)(C3)C(CC5C6=C(C=CC=C6F)C7=CN=CN57)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
970,122499120,C1C2CC3CC1CC(C2)(C3)C(CN4C5=CC=CC=C5N6C4=CN=C6)O,5.5,Imidazole
971,122499140,C1C2CC3CC1CC(C2)(C3)C(CC4C5=C(C(=CC=C5)F)C6=CN=CN46)O,0.3,"Imidazole; 5H-imidazo(5,1-a)isoindole"
972,122499153,C1C2CC3CC1CC(C2)(C3)C(CC4C5=C(C=CC(=C5)F)C6=CN=CN46)O,0.3,"Imidazole; 5H-imidazo(5,1-a)isoindole"
973,122499180,C1C2CC3CC(C2)(CC1C3O)C(CC4C5=CC=CC=C5C6=CN=CN46)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
974,122499210,C1C2CC3CC(C2)(CC1C3NS(=O)(=O)CC4=CC=CC=C4)C(CC5C6=C(C=CC=C6F)C7=CN=CN57)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
975,122499251,C1C2CC3CC1CC(C2)(C3)C(=O)CC4C5=CC=CC=C5C6=CN=CN46,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
976,122499259,C1C2CC3CC(C2)(CC1C3OCCO)C(CC4C5=C(C=CC=C5F)C6=CN=CN46)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
977,122499262,C1C2CC3CC(C2)(CC1C3NC(=O)CC4=CC=CC=C4)C(CC5C6=CC=CC=C6C7=CN=CN57)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
978,122499267,CC(C)(CCOC1C2CC3CC1CC(C3)(C2)C(CC4C5=C(C=CC=C5F)C6=CN=CN46)O)O,0.3,"Imidazole; 5H-imidazo(5,1-a)isoindole"
979,122499395,C1C2CC3CC(C2)(CC1C3NC(=O)C4=CC=CC=C4)C(CC5C6=CC=CC=C6C7=CN=CN57)O,0.2,"Imidazole; 5H-imidazo(5,1-a)isoindole"
980,122504382,C1=CC=C2C(=C1)C(N3C2=CN=C3)CNC(=O)NC4=CC=C(C=C4)C#N,0.05,"Imidazole; 5H-imidazo(5,1-a)isoindole"
981,122525709,CN1CCN(CC1)CC2=CC3=C(C=C2)N=C4C(=O)C5=CC=CC=C5N4C3=O,2.52,Tryptanthrin
982,122525711,CN(C)CC1=CC2=C(C=C1)N=C3C(=O)C4=C(N3C2=O)C=CC(=C4)F,0.065,Tryptanthrin
983,122525712,C1CN(CCN1)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,0.375,Tryptanthrin
984,122604981,C1CCC(CC1)[C@@H](C2=CC(=CC3=CN=CN23)Cl)O,0.0193,Imidazole
985,122606362,C1COCCN1CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,0.4,Tryptanthrin
986,122608329,CC(C)(C)OC(=O)N1CCN(CC1)CC2=CC3=C(C=C2)N=C4C(=O)C5=C(N4C3=O)C=CC(=C5)F,1.88,Tryptanthrin
987,122628149,C1C2CC3(CC1CC(C2)(C3)O)C(CC4C5=CC=CC=C5C6=CN=CN46)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
988,122628150,C1C2CC3(CC1CC(C2)(C3)O)C(=O)CC4C5=CC=CC=C5C6=CN=CN46,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
989,122628156,C1C2CC3(CC1CC(C2)(C3)O)C(CC4C5=C(C=CC=C5F)C6=CN=CN46)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
990,122628157,C1CN(CCC1C(CC2C3=CC=CC=C3C4=CN=CN24)O)C5=C(C=C(C=C5)C(F)(F)F)[N+](=O)[O-],0.5,"Imidazole; 5H-imidazo(5,1-a)isoindole"
991,122628163,C1CC2(CCC1(CC2)C(CC3C4=C(C=CC=C4F)C5=CN=CN35)O)O,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
992,122628879,C1C2CC3(CC1CC(C2)(C3)O)C(=O)CC4C5=C(C=CC=C5F)C6=CN=CN46,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
993,122628885,C1C2CC3CC1CC(C2)(C3)C(=O)CC4C5=C(C=CC=C5F)C6=CN=CN46,0.1,"Imidazole; 5H-imidazo(5,1-a)isoindole"
994,122650372,CN1C=C(C=N1)C2=CC=C(C=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46,0.0509,"Imidazole; 5H-imidazo(5,1-a)isoindole"
995,122650373,CN1C=C(C=N1)C2=CC=C(C=C2)N3CCC(CC3)[C@H]4C5=C(C=CC=C5F)C6=CN=CN46,0.056953333,"Imidazole; 5H-imidazo(5,1-a)isoindole"
996,122650376,CC1(OCC(O1)CN2C=C(C=N2)C3=CC=C(C=C3)N4CCC(CC4)C5C6=C(C=CC=C6F)C7=CN=CN57)C,0.0588,"Imidazole; 5H-imidazo(5,1-a)isoindole"
997,122650378,CN1C=C(C=N1)C2=CC(=C(C=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46)F,0.031266667,"Imidazole; 5H-imidazo(5,1-a)isoindole"
998,122650388,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=NC=C(C=N5)C6=CN(N=C6)C7CCOCC7,0.034,"Imidazole; 5H-imidazo(5,1-a)isoindole"
999,122650391,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C(=O)NC5=CC=C(C=C5)C#N,0.0569,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1000,122650394,CS(=O)(=O)N1CCCC(C1)OC2=CN=C(N=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46,0.0178,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1001,122650396,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=NC=C(C=C5)Cl,0.00723,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1002,122650397,COCCN1C=C(C=N1)C2=CC=C(C=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46,0.0363,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1003,122650476,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC=C(C=C5)C#N,0.171733333,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1004,122650483,C1COC[C@@H]1N2C=C(C=N2)C3=CC=C(C=C3)N4CCC(CC4)C5C6=C(C=CC=C6F)C7=CN=CN57,0.033,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1005,122650486,COC1=CC=CC(=C1)NC(=O)C2CCC(CC2)[C@@H]3C4=C(C=CC=C4F)C5=CN=CN35,0.0361,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1006,122650491,C1CN(CCC1[C@H]2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC=C(C=C5)C6=CN(N=C6)CCO,0.00922,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1007,122650496,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC(=C(C=C5)F)F,0.00668,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1008,122650497,COC1=CC=C(C=C1)N2CCC(CC2)C3C4=C(C=CC=C4F)C5=CN=CN35,0.0962,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1009,122650500,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC(=CC=C5)F,0.103566667,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1010,122650502,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC=C(C=C5)C(=O)NC6CCOCC6,0.0732,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1011,122650503,CC(=O)NC1=CC(=CC=C1)N2CCC(CC2)C3C4=C(C=CC=C4F)C5=CN=CN35,0.0687,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1012,122650505,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC=CC=C5,0.239466667,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1013,122650508,CN1C=C(C=N1)C2=CC(=CC=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46,0.136933333,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1014,122650514,CC1(OC[C@@H](O1)CN2C=C(C=N2)C3=CC=C(C=C3)N4CCC(CC4)C5C6=C(C=CC=C6F)C7=CN=CN57)C,0.0359,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1015,122650518,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=NC=C(S5)Br,0.0482,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1016,122650580,CS(=O)(=O)N1CCC(CC1)N2C=C(C=N2)C3=CC=C(C=C3)N4CCC(CC4)C5C6=C(C=CC=C6F)C7=CN=CN57,0.0142,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1017,122650581,CN1C=C(C=N1)C2=C(C=C(C=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46)F,0.028216667,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1018,122650583,CC(=O)NCCN1C=C(C=N1)C2=CC=C(C=C2)N3CCC(CC3)C4C5=C(C=CC=C5F)C6=CN=CN46,0.0633,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1019,122650584,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC=C(C=C5)C6=CN(N=C6)C7CCOC7,0.0166,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1020,122650593,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC(=C(C=C5)C#N)F,0.00884,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1021,122650596,C1CN(CCC1C2C3=C(C=CC=C3F)C4=CN=CN24)C5=CC=C(C=C5)OC6CCOC6,0.0281,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1022,122650599,COC1=CC=C(C=C1)CNC2=NC=CC(=C2)C3=NN=C(S3)N4CCC(CC4)C5C6=C(C=CC=C6F)C7=CN=CN57,0.0106,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1023,123229041,[C-]#[N+]C1=CC2=C(C=C1)NC=C2C3CC(=O)NC3=O,12,"Indole; Brassinin; 3-(1H-indol-3-yl)pyrrolidine-2,5-dione"
1024,123491064,[C-]#[N+]C1=CC2=C(C=C1)C(=CN2)C3CC(=O)NC3=O,1.7,"Indole; Brassinin; 3-(1H-indol-3-yl)pyrrolidine-2,5-dione"
1025,124189840,CC1=NOC(=C1C(=O)NC)C2CCN(CC2)C3=CC(=CC4=CN=CN34)C(F)(F)F,0.398,Imidazole
1026,124189855,CC1=NOC(=C1C(=O)N)C2CCN(CC2)C3=CC(=CC4=CN=CN34)C(F)(F)F,0.251,Imidazole
1027,124189950,C1CN(CCC1N2C=NN=N2)C3=CC(=CC4=CN=CN34)C(F)(F)F,1,Imidazole
1028,124927661,C1=CC2=C(C(=O)C3=C(C2=O)N=C(S3)C4=CC=NC=C4)N=C1,0.2895,Other
1029,125315466,CC1=NC(=NC(=O)C1)SCC2=C(C=C(C=C2)Cl)Cl,217,Other
1030,126592878,C1CN(CCC1C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO)C(=O)NC3=CC=CC=C3,0.047,Other
1031,126592883,C1CC(CCC1CNS(=O)(=O)N)C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO,0.1095,Other
1032,126593143,C1CN(CCC1C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO)C3=CC=CC=C3,0.584,Other
1033,126593510,C1CCC(CC1)C(=O)C(=NC2=CC(=C(C=C2)F)Br)NO,0.0975,Other
1034,126621966,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=C(C=C3)Cl,100,Other
1035,126621967,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)CC3=CC=C(C=C3)OC(F)(F)F,100,Other
1036,126621968,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)C,100,Other
1037,126621969,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=C(C=C3)C#N,55,Other
1038,126621970,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC(=CC=C3)Cl,100,Other
1039,126621971,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=CC=C3Cl,100,Other
1040,126621972,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=C(C=C3)OC(F)(F)F,100,Other
1041,126621974,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=C(C=C3)C(F)(F)F,100,Other
1042,126621975,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=CC(=C3)C(F)(F)F,100,Other
1043,126621979,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=C(C=C3)OC,100,Other
1044,126621981,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=CC=C3OC(F)(F)F,100,Other
1045,126621987,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC(=CC=C3)OC,100,Other
1046,126621989,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC(=CC=C3)OC(F)(F)F,100,Other
1047,126622008,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=CC=C3OC,55,Other
1048,126622009,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=CC=C3C(F)(F)F,100,Other
1049,126622033,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)NC3=CC=CC=C3,55,Other
1050,126622747,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)CC3=CC=CC=C3,100,Other
1051,126640018,CC1=C2C(=NOC2=NC(=C1Cl)C)NC(=O)OC3=CC=CC=C3,5.5,Other
1052,127028367,C1CC(C2=CC=CC=C2C1)ON.Cl,10,Other
1053,127028368,C1C(CC2=CC=CC=C21)ON.Cl,10,Other
1054,127028910,C1CCC(CC1)C(CN2C3=CC=CC=C3C4=C2N=CC=C4)O,10,Indole; Brassinin
1055,127036449,CC1=NC=C2N1C(C3=CC=CC=C32)CC(C4CCCCC4)O,10,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1056,127036625,C1CCC(CC1)C(CN2C3=CC=CC=C3C4=C2C=NC=C4)O,48,Beta-carboline; Indole; Brassinin
1057,127036630,C1CCC(CC1)C(=O)CN2C3=CC=CC=C3C4=C2N=CC=C4,10,Indole; Brassinin
1058,127036787,C1CCC(CC1)C(CC2NC3=CC=CC=C3C4=CN=CN24)O,1.139,Imidazole
1059,127037839,C1=CC(=C(C=C1C(F)(F)F)F)CON.Cl,1.1,Other
1060,127038189,C1C(CC2=CC=CC=C21)CCON.Cl,20,Other
1061,127038190,C1=CC(=C(C=C1I)Cl)CON.Cl,0.73,Other
1062,127038222,C1=CC(=CC=C1CON)I.Cl,0.14175,Other
1063,127038232,C1=C(C=C(C=C1C(F)(F)F)C(F)(F)F)CON.Cl,4.6,Other
1064,127038891,C1CC1C(C2=CC=CC=C2)ON.Cl,5.2,Other
1065,127039199,C1=C(C=C(C=C1Br)Br)CON.Cl,4.2,Other
1066,127039223,COC1=CC(=C(C=C1)OC)CON.Cl,1.7,Other
1067,127039229,C1=CC=C(C(=C1)CON)O.Cl,19,Other
1068,127039238,C1=CC(=CC=C1CON)O.Cl,61,Other
1069,127039239,C1=CC(=C(C=C1CON)C(F)(F)F)Cl.Cl,0.49,Other
1070,127039240,C1=CC(=C(C=C1C(F)(F)F)CON)F.Cl,0.57,Other
1071,127039543,COC1=CC=CC(=C1O)CON.Cl,55,Other
1072,127039550,C1CC2=CC=CC=C2C1ON.Cl,26,Other
1073,127047325,C1=CC=C(C=C1)C2=C(N=CN2)C3=CC(=CC=C3)Br,1.7,Imidazole
1074,127047886,C1=CC=C(C=C1)C2=C(N=CN2)C3=CC(=CC=C3)Cl,3.2,Imidazole
1075,127048016,CC(=O)NC1=CC=C(C=C1)C2=C(N=CN2)C3=CC(=CC=C3)Br,2.85,Imidazole
1076,127048119,C1=CC(=CC=C1C2=C(N=CN2)C3=CSC=C3)OC(F)(F)F,3.3,Imidazole; Thiophene
1077,129260747,C1=CC(=C(C=C1N=C(C2=NON=C2SCC(=O)NCCO)N)Br)F,0.0542,Other
1078,129260750,CN(C)C(=O)CSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N,0.0596,Other
1079,129260751,C1CC(C1)NC(=O)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0369,Other
1080,129260752,CCNC(=O)CSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N,0.0485,Other
1081,129260753,C1CC1NC(=O)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0473,Other
1082,129260754,C1=CC(=C(C=C1N=C(C2=NON=C2SCCN3C=CN=C3)N)Br)F,0.0786,Imidazole
1083,129260834,C1COCCC1CNC(=O)NCCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.037,Other
1084,129260835,C1=COC(=C1)CNC(=O)NCCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0341,Furan
1085,129260836,CCOC(=O)NC(=O)NCCSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N,0.11,Other
1086,129260837,C1CCC(C1)NC(=O)NCCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0353,Other
1087,129260841,CCCCNC(=O)NCCSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N,0.0335,Other
1088,129260845,COCCNC(=O)NCCSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N,0.0321,Other
1089,129260850,C1C[C@@H](N(C1)C(=O)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CO,0.106,Other
1090,129260851,C1=CC(=C(C=C1N=C(C2=NON=C2SCC(=O)NCCF)N)Br)F,0.0349,Other
1091,129260852,CC(CNC(=O)CSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N)O,0.0387,Other
1092,129260854,C1C[C@H](N(C1)C(=O)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N)CO,0.12,Other
1093,129260855,C1CCN(C1)C(=O)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.112,Other
1094,129260863,CN1C=CN=C1CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0854,Imidazole
1095,129260864,CC1=NC(=NO1)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0777,Other
1096,129260865,C1=CC(=C(C=C1N=C(C2=NON=C2SCC3=NOC=N3)N)Br)F,0.0588,Other
1097,129260867,C1=CC(=C(C=C1N=C(C2=NON=C2SCC3=NC=CS3)N)Br)F,0.0638,Other
1098,129260868,CC1=NC=CN1CCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0963,Imidazole
1099,129260869,C1=CC(=C(C=C1N=C(C2=NON=C2SCCC3=CSC=N3)N)Br)F,0.0976,Other
1100,129260870,C1CC(CNC1)CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0957,Other
1101,129260878,C1=CC(=C(C=C1N=C(C2=NON=C2SCCN3C=NC=N3)N)Br)F,0.0314,Other
1102,129260957,CC#CCSC1=NON=C1C(=NC2=CC(=C(C=C2)F)Br)N,0.169,Other
1103,129260959,C1CN(CCN1)CCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.161,Other
1104,129260960,C1=CC(=C(C=C1N=C(C2=NON=C2SCCF)N)Br)F,0.0657,Other
1105,129260961,C1COCCC1CSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.111,Other
1106,129260962,CN1CCN(CC1)CCSC2=NON=C2C(=NC3=CC(=C(C=C3)F)Br)N,0.0622,Other
1107,129260964,C1=CC(=C(C=C1N=C(C2=NON=C2SCC3=CN=CN3)N)Br)F,0.104,Imidazole
1108,129282703,C1CN2C(=CC=N2)[C@H]([C@@H]1[C@H]3C4=CC=CC=C4C5=CN=CN35)O,4.5,"Imidazole; 5H-imidazo(5,1-a)isoindole"
1109,130335344,C1=CC(=C2C=CSC2=C1)CNC3=CC(=CC4=C3C=NN4)C(F)(F)F,100,1H-indazole; Thiophene
1110,130335347,CNC(=O)C1=CC=CC(=C1)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1111,130335349,C1=CC(=CC(=C1)C(=O)O)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1112,130335352,C1=CC(=CC(=C1)NCC(=O)O)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1113,130335354,C1C[C@@H](NC1)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,9.58,1H-indazole
1114,130335355,C1C(CN1)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1115,130335426,C1=CC(=CC(=C1)C(F)(F)F)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1116,130335527,C1=CC(=CC=C1CNC2=CC(=CC3=C2C=NN3)Br)[N+](=O)[O-],6.97,1H-indazole
1117,130335540,C1=CC(=CC(=C1)[N+](=O)[O-])CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1118,130335541,C1=CC(=CC(=C1)N)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,100,1H-indazole
1119,130335543,C1CC(CC(C1)O)NC2=CC=CC(=C2)CNC3=CC(=CC4=C3C=NN4)C(F)(F)F,100,1H-indazole
1120,130335568,C1CCN[C@H](C1)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,24.01,1H-indazole
1121,130335569,C1CCN[C@@H](C1)CNC2=CC(=CC3=C2C=NN3)C(F)(F)F,18.73,1H-indazole
1122,130360286,C1CC(CCC1[C@H](C[C@H]2C3=C(C=CS3)C4=CN=CN24)O)(F)F,0.0114,Imidazole; Thiophene
1123,132004343,COC1=CC2=C(C=C1)N3C(=NC4=C(C3=O)C=CN=C4)C2=O,5.5,Other
1124,132004345,C1=CC2=C(NC3=C(C4=C(N3C2=O)C=CC(=C4)Cl)N=O)N=C1,0.55,Indole; Brassinin
1125,132004348,C=CCO/N=C/1\C2=C(C=CC(=C2)[N+](=O)[O-])N3C1=NC4=C(C3=O)C=CC=N4,5.5,Other
1126,132004357,CN(C)CCO/N=C/1\C2=CC=CC=C2N3C1=NC4=C(C3=O)C=CC=N4,0.55,Other
1127,132004358,C1=CC2=C(N=C1)N=C3/C(=N/OCCO)/C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.55,Other
1128,132004404,COC1=CC2=C(C=C1)N3C(=C2N=O)NC4=C(C3=O)C=CC=N4,5.5,Indole; Brassinin
1129,132004405,CN(C)CCO/N=C/1\C2=C(C=CC(=C2)F)N3C1=NC4=C(C3=O)C=CC=N4,0.55,Other
1130,132004406,CN(C)CCCO/N=C/1\C2=C(C=CC(=C2)Cl)N3C1=NC4=C(C3=O)C=CC=N4,5.5,Other
1131,132004428,C1=CC2=C(N=C1)N=C3C(=O)C4=C(N3C2=O)C=CN=C4,0.0055,Other
1132,132004431,C1=CC2=C(N=C1)N=C3/C(=N/OS(=O)(=O)O)/C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.55,Other
1133,132004434,C1=CC2=C(N=C1)N=C3/C(=N/OCC(=O)O)/C4=C(N3C2=O)C=CC(=C4)[N+](=O)[O-],0.55,Other
1134,132004486,CC1=CC2=C(C=C1)N3C(=C2N=O)NC4=C(C3=O)C=CC=N4,5.5,Indole; Brassinin
1135,132004494,CN(C)CCO/N=C/1\C2=C(C=CC(=C2)[N+](=O)[O-])N3C1=NC4=C(C3=O)C=CC=N4,0.0055,Other
1136,132004496,CN(C)CCO/N=C/1\C2=C(C=CC(=C2)Cl)N3C1=NC4=C(C3=O)C=CC=N4,0.55,Other
1137,132004505,CO/N=C/1\C2=C(C=CC(=C2)[N+](=O)[O-])N3C1=NC4=C(C3=O)C=CC=N4,0.55,Other
