STT,CID,SMILES,IC50 (uM),Substructure,"1,3-diphenylurea",1H-indazole,Beta-carboline,Dihydropyridine,Furan,"Imidazo(2,1-b)thiazole",Imidazole,Indole,Isoquinoline,"Naphtho(2,3-d)imidazole-4,9-dione","Naphtho(2,3-d)thiazole-4,9-dione",Naphthoquinone,Quinoline,Quinone,Quinoxaline,Thiohydantoin,Thiophene,Triazole,Tryptophan,"1H-indole-4,7-dione","5H-imidazo(5,1-a)isoindole",Brassinin,Tryptanthrin,"3-(1H-indol-3-yl)pyrrolidine-2,5-dione",Other
622,117698703,C1=CC=C(C(=C1)NC2=C(OC3=C2C=CC(=C3)C#N)N)Cl,0.733333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
623,117698714,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
624,117698721,C1=CC(=CC(=C1)Br)NC2=C(OC3=C2C=CC(=C3)C#N)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
625,117698734,C1COCCN1CCNC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
626,117698756,CC1=NC=CC(=C1)C2=CC=CC3=C2SC(=C3NC4=CC=CC=C4)N,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
627,117698772,C1=CC(=CC=C1NC2=C(OC3=CN=C(C=C32)F)N)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
628,117698776,C1=CC(=CC(=C1)C(F)(F)F)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
629,117698821,C1=CC=C(C(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
630,117698822,C1=CC=C(C(=C1)NC2=C(OC3=C2C=CN=C3C#N)N)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
631,117698826,CCC1=CC=CC=C1NC2=C(SC3=CC=CC=C32)N,1,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
632,117704748,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=CC(=C4)Cl)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
633,117704749,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C(=CC=C4)Cl)F)N,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
634,117704750,CC(C)OC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
635,117704751,CC(C)(C)OC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
636,117704752,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
637,117704753,C1=CC(=CN=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
638,117704754,C1=CC=C(C(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
639,117704780,C1=CC=C(C=C1)C2=CC3=C(C=C2)SC(=C3NC4=CC(=C(C=C4)F)Cl)N,1,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
640,117704781,CCOC(=O)NC1=C(C2=C(O1)C=NC=C2)NC3=CC(=C(C=C3)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
641,117704782,CCOC(=O)NC1=C(C2=C(O1)C=NC=C2)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
642,117704784,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)I)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
643,117704785,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#CC3=CC=C(C=C3)C(=O)N)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
644,117704786,CCC1=NC=CC2=C1OC(=C2NC3=CC(=C(C=C3)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
645,117704787,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)F)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
646,117704788,COC1=NC=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
647,117704789,C1=CC=C(C=C1)C2=C3C(=CC(=N2)OC4=CC=CC=C4)C(=C(O3)N)NC5=CC(=C(C=C5)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
648,117704790,CC1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
649,117704791,CC1=C2C(=CC(=N1)OC)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
650,117704793,CCCC1=NC=CC2=C1OC(=C2NC3=CC(=C(C=C3)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
651,117704794,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
652,117704796,CC(=O)C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
653,117704797,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)C(F)(F)F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
654,117704798,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)Br,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
655,117704799,CC1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,0.733333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
656,117704800,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Br)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
657,117704801,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
658,117704802,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#N)N(C3=CC(=C(C=C3)F)C(F)(F)F)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
659,117704803,C1=CC(=C(C=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
660,117704804,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)Br)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
661,117704805,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C(=C(C=C4)F)F)F)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
662,117704807,CC(C)(C)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
663,117704813,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
664,117704814,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC3=C(OC4=C3C=CN=C4)N,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
665,117704815,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
666,117704816,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)F,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
667,117704817,CC1=CC(=CC=C1)NC2=C(OC3=C2C=CN=C3)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
668,117704821,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
669,117704822,C1CCC2=C(C1)C=CC=C2NC3=C(OC4=C3C=CN=C4)N,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
670,117704823,CC1=NC=CC(=C1)C2=CC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
671,117704824,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C(=C3)Br)F)F,0.733333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
672,117704825,C1=CC=C(C=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
673,117704828,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)Cl)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
674,117704831,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)F)F,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
675,117704834,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
676,117704835,CC1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
677,117704836,C1=CC=C2C=C(C=CC2=C1)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
678,117704837,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
679,117704838,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Br,0.733333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
680,117704842,C1=CC(=C(C=C1NC2=C(OC3=CN=CC(=C32)Cl)N)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
681,117704843,C1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=CC(=C3)F)F)C#N,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
682,117704847,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
683,117704848,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
684,117704853,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=CC=C4)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
685,117704854,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=C(C=C4)F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
686,117704856,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)F)F,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
687,117704858,C1COCCN1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
688,117704862,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C(=NC=C3)C#N)NC4=CC(=C(C=C4)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
689,117704863,C1COCCN1C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
690,117704865,CN1C=C(C=N1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
691,117704866,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
692,117704867,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC(=C(C=C3)F)F,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
693,117704868,CC1=CC(=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)C,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
694,117704869,C1=CC(=C(C=C1Cl)NC2=C(OC3=C2C=CN=C3)N)Cl,0.733333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
695,117704870,C1=CC=C(C(=C1)NC2=C(OC3=CN=C(C=C32)F)N)Cl,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
696,117704871,C1=CC(=CC(=C1)Cl)NC2=C(OC3=CN=C(C=C32)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
697,117704873,C1=CC(=CC(=C1)Cl)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
698,117704874,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
699,117704875,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)F)N)F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
700,117704876,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=C(C=C4)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
701,117704877,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
702,117704878,C1=CC(=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
703,117704879,CC1=CC2=C(C=C1)SC(=C2NC3=CC(=C(C=C3)F)F)N,0.333333333,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
704,117704880,C1=CC(=CC=C1C#N)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
705,117704881,C1=CC(=CC(=C1)NC2=C(OC3=CN=C(C=C32)F)N)C(F)(F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
706,117704882,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
707,117704884,C1=CC2=C(C(=C1)C3=CC=NC=C3)SC(=C2NC4=CC(=C(C=C4)F)Cl)N,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
708,117704885,C1=CC=NC(=C1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
709,117704886,CC1=CC(=CC(=N1)C)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
710,117704887,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=CC=C4)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
711,117704888,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)NC4=CC(=C(C=C4)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
712,117704891,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=CC=C3)NC4=CC(=C(C=C4)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
713,117704892,CCOC(=O)NC1=C(C2=CC=CC=C2S1)NC3=CC(=C(C=C3)F)Cl,1,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
714,117704893,C1OC2=C(O1)C=C(C=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
715,117704895,CCC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
716,117704902,CC1=CC(=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)C,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
717,117704903,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C=CC(=C4)F)Cl)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
718,117704926,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC=CC(=C3)C(F)(F)F,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
719,117704927,C1=CC(=C(C=C1NC2=C(SC3=C2C=C(C=C3)Cl)N)C(F)(F)F)F,0.333333333,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
720,117704928,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C=NC=C3)NC4=CC(=C(C=C4)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
721,117704929,CC1=C(C(=CC=C1)NC2=C(SC3=CC=CC=C32)N)C,0.733333333,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
722,117704930,C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
723,117704931,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=C(C=C3)C(=O)N)NC4=CC(=C(C=C4)F)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
724,117704932,CC(C)(C)C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(C)(C)C,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
725,117704933,CC1=C(C=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)Cl,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
726,117704934,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)Cl,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
727,117704935,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)OC(F)(F)F,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
728,117704936,C1=CC(=CN=C1)NC2=C(OC3=C2C=CN=C3)N,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
729,117704937,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
730,117704938,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Cl)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
731,117704939,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C=C3F)F)Cl,0.733333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
732,117704941,C1=CN=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=CC(=C4)F)F)N,0.333333333,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
733,117704942,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)F)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
734,117704943,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC(=NC(=C4)F)F)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
735,117704950,C1=CC=C(C=C1)CC2=CC(=CC=C2)NC3=C(OC4=C3C=CN=C4)N,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
736,117704951,CCC1=NC=CC2=C1OC(=C2NC3=CC=CC(=C3)C(F)(F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
737,117704956,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
738,117704960,C#CC1=C(C=CC(=C1)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
739,117704961,CCCCOC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=CC=C4,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
740,117704962,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=CC(=C3)C#N)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
741,117704963,C#CC1=C(C=CC(=C1)NC2=C(OC3=C2C=CN=C3C4=CC=CC=C4)N)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
742,117704964,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#N)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
743,117704965,COC(=O)NC1=C(C2=C(O1)C=NC=C2)N(C3=CC(=C(C=C3)F)Cl)C(=O)OC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
744,117704966,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
745,117704967,C1=CC=C2C(=C1)C=CC=C2C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
746,117704968,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)C(F)(F)F)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
747,117704969,CC1=C(C=CC(=C1)Br)NC2=C(SC3=CC=CC=C32)N,0.733333333,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
748,117704970,C1OC2=C(O1)C=C(C=C2)NC3=C(SC4=CC=CC=C43)N,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
749,117704971,COC1=CC=CC(=C1)NC2=C(SC3=CC=CC=C32)N,0.333333333,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
750,117704972,C1=CC=C(C=C1)C2=CC=CC3=C2SC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
751,117704973,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC(=CC=C3)Cl,0.2,Thiophene,,,,,,,,,,,,,,,,,x,,,,,,,,
752,117704975,CC1=CC2=C(C(=N1)C3=CC(=NC=C3)C)OC(=C2NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
753,117704976,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC(=NC=C4)C(F)(F)F)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
754,117704977,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC=C3)C)N(C4=CC(=C(C=C4)F)F)C(=O)OCC,1,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
755,117704978,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC(=CC(=C4)F)F)N)Cl)F,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
756,117704979,C1=CC=C(C=C1)/C=C/C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2,Furan,,,,,x,,,,,,,,,,,,,,,,,,,,
757,117779181,CCCOC1=C(C=C(C=C1NC(=O)NC2=CC=C(C=C2)C)C3=CC=CC=C3C4=NNN=N4)/C=C/CC(F)(F)F,0.03,"1,3-diphenylurea",x,,,,,,,,,,,,,,,,,,,,,,,,
758,117779240,CC1=CC=C(C=C1)NC(=O)NC2=C(C=CC(=C2)C3=CC(=C(C=C3)OC)C(=O)O)OC4=CC=CC=C4C(C)(C)C,0.35,"1,3-diphenylurea",x,,,,,,,,,,,,,,,,,,,,,,,,
759,117779569,CCCOC1=C(C=C(C=C1NC(=O)NC2=CC=C(C=C2)C)C3=CC=CC=C3C4=NNN=N4)C/C=C/C,0.03,"1,3-diphenylurea",x,,,,,,,,,,,,,,,,,,,,,,,,
760,117805608,CCCC1=C(C(=CC(=C1)C2=CC=CC=C2C3=NNN=N3)NC(=O)NC4=CC=C(C=C4)C)OCCC,0.03,"1,3-diphenylurea",x,,,,,,,,,,,,,,,,,,,,,,,,
761,117805612,CC1=CC=C(C=C1)NC(=O)NC2=C(N=CC(=C2)C3=CC(=CN=C3)C(=O)O)OC4=CC=CC=C4,6.18,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
762,117805661,CC1=CC=C(C=C1)NC(=O)NC2=C(N=CC(=C2)C3=CC(=CC(=C3)Cl)C(=O)O)OC4=CC=CC=C4C(C)(C)C,7.5,Other,,,,,,,,,,,,,,,,,,,,,,,,,x
763,117927580,CC1=CC=C(C=C1)NC(=O)NC2=C(C=CC(=C2)C3=CC=CC=C3C(=O)O)N(CC(C)C)CC(C)C,0.013366667,"1,3-diphenylurea",x,,,,,,,,,,,,,,,,,,,,,,,,
764,118511968,C1[C@H](C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)F,37.85714286,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
765,118511969,C1[C@H](C(=O)NC1=O)C2=CNC3=C2C=C(C=C3)Cl,50,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
766,118511985,C1[C@@H](C(=O)NC1=O)C2=CNC3=CC(=C(C=C32)F)Br,0.62,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
767,118511986,C1C(C(=O)NC1=O)C2=CNC3=CC(=C(C=C32)F)Br,0.29,Indole,,,,,,,,x,,,,,,,,,,,,,,x,,x,
