STT,CID,SMILES,IC50 (uM)
1370,117704794,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)Cl)F,0.2
1371,117704794,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)Cl)F,0.2
1372,117704796,CC(=O)C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,1
1373,117704796,CC(=O)C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,1
1374,117704797,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)C(F)(F)F)F,0.2
1375,117704797,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)C(F)(F)F)F,0.2
1376,117704797,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)C(F)(F)F)F,0.2
1377,117704798,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)Br,0.2
1378,117704798,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)Br,0.2
1379,117704798,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)Br,0.2
1380,117704799,CC1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,0.2
1381,117704799,CC1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,1
1382,117704799,CC1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,1
1383,117704800,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Br)N)Cl)F,0.2
1384,117704800,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Br)N)Cl)F,0.2
1385,117704800,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Br)N)Cl)F,0.2
1386,117704801,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,0.2
1387,117704801,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,0.2
1388,117704801,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N)F,0.2
1389,117704802,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#N)N(C3=CC(=C(C=C3)F)C(F)(F)F)C(=O)OCC,1
1390,117704802,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C#N)N(C3=CC(=C(C=C3)F)C(F)(F)F)C(=O)OCC,1
1391,117704803,C1=CC(=C(C=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F)F,0.2
1392,117704803,C1=CC(=C(C=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F)F,0.2
1393,117704803,C1=CC(=C(C=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F)F,0.2
1394,117704804,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)Br)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1
1395,117704804,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)Br)N(C3=CC(=C(C=C3)F)Cl)C(=O)OCC,1
1396,117704805,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C(=C(C=C4)F)F)F)N)Cl)F,0.2
1397,117704805,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C(=C(C=C4)F)F)F)N)Cl)F,0.2
1398,117704807,CC(C)(C)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1399,117704807,CC(C)(C)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1400,117704807,CC(C)(C)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1401,117704813,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F,0.2
1402,117704813,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F,0.2
1403,117704813,C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F,0.2
1404,117704814,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC3=C(OC4=C3C=CN=C4)N,1
1405,117704814,C1=CC=C(C=C1)OC2=CC=C(C=C2)NC3=C(OC4=C3C=CN=C4)N,1
1406,117704815,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Cl,1
1407,117704815,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Cl,1
1408,117704816,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)F,1
1409,117704816,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)F,1
1410,117704817,CC1=CC(=CC=C1)NC2=C(OC3=C2C=CN=C3)N,0.2
1411,117704817,CC1=CC(=CC=C1)NC2=C(OC3=C2C=CN=C3)N,0.2
1412,117704817,CC1=CC(=CC=C1)NC2=C(OC3=C2C=CN=C3)N,0.2
1413,117704821,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F)F,0.2
1414,117704821,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F)F,0.2
1415,117704821,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)C(F)(F)F)F,0.2
1416,117704822,C1CCC2=C(C1)C=CC=C2NC3=C(OC4=C3C=CN=C4)N,1
1417,117704822,C1CCC2=C(C1)C=CC=C2NC3=C(OC4=C3C=CN=C4)N,1
1418,117704823,CC1=NC=CC(=C1)C2=CC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1419,117704823,CC1=NC=CC(=C1)C2=CC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1420,117704824,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C(=C3)Br)F)F,0.2
1421,117704824,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C(=C3)Br)F)F,1
1422,117704824,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C(=C3)Br)F)F,1
1423,117704825,C1=CC=C(C=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2
1424,117704825,C1=CC=C(C=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2
1425,117704825,C1=CC=C(C=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2
1426,117704828,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)Cl)N)Cl)F,0.2
1427,117704828,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)Cl)N)Cl)F,0.2
1428,117704828,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)Cl)N)Cl)F,0.2
1429,117704831,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)F)F,0.2
1430,117704831,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)F)F,0.2
1431,117704831,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)F)F,0.6
1432,117704834,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)F,0.2
1433,117704834,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)F,0.2
1434,117704834,COC1=NC(=C2C(=C1)C(=C(O2)N)NC3=CC(=C(C=C3)F)Cl)C4=CC=C(C=C4)F,0.2
1435,117704835,CC1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C,0.2
1436,117704835,CC1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C,0.2
1437,117704835,CC1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C,0.6
1438,117704836,C1=CC=C2C=C(C=CC2=C1)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1439,117704836,C1=CC=C2C=C(C=CC2=C1)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1440,117704836,C1=CC=C2C=C(C=CC2=C1)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1441,117704837,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl,0.2
1442,117704837,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl,0.2
1443,117704837,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl,0.6
1444,117704838,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Br,0.2
1445,117704838,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Br,1
1446,117704838,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)Br,1
1447,117704842,C1=CC(=C(C=C1NC2=C(OC3=CN=CC(=C32)Cl)N)F)Cl,1
1448,117704842,C1=CC(=C(C=C1NC2=C(OC3=CN=CC(=C32)Cl)N)F)Cl,1
1449,117704843,C1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=CC(=C3)F)F)C#N,1
1450,117704843,C1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=CC(=C3)F)F)C#N,1
1451,117704843,C1=CN=C(C2=C1C(=C(O2)N)NC3=CC(=CC(=C3)F)F)C#N,1
1452,117704847,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)F,0.2
1453,117704847,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)F,0.2
1454,117704847,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)F,0.2
1455,117704848,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)Cl,0.2
1456,117704848,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)Cl,0.2
1457,117704848,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=C(C=C4)F)Cl,0.2
1458,117704853,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=CC=C4)Cl,0.2
1459,117704853,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=CC=C4)Cl,0.2
1460,117704853,CC1=NC=CC(=C1)C2=C3C(=CC(=N2)F)C(=C(O3)N)NC4=CC(=CC=C4)Cl,0.2
1461,117704854,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=C(C=C4)F)F)N,0.2
1462,117704854,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=C(C=C4)F)F)N,0.2
1463,117704854,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=C(C=C(C=C4)F)F)N,0.2
1464,117704856,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)F)F,0.2
1465,117704856,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)F)F,0.2
1466,117704856,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C#N)N)F)F,0.6
1467,117704858,C1COCCN1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1468,117704858,C1COCCN1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1469,117704858,C1COCCN1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1470,117704862,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C(=NC=C3)C#N)NC4=CC(=C(C=C4)F)Cl,1
1471,117704862,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C(=NC=C3)C#N)NC4=CC(=C(C=C4)F)Cl,1
1472,117704863,C1COCCN1C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1473,117704863,C1COCCN1C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1474,117704863,C1COCCN1C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1475,117704863,C1COCCN1C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1476,117704865,CN1C=C(C=N1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1477,117704865,CN1C=C(C=N1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1478,117704865,CN1C=C(C=N1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1479,117704866,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.2
1480,117704866,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.2
1481,117704866,COC1=CC=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.6
1482,117704867,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC(=C(C=C3)F)F,0.2
1483,117704867,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC(=C(C=C3)F)F,0.2
1484,117704867,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC(=C(C=C3)F)F,0.2
1485,117704868,CC1=CC(=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)C,1
1486,117704868,CC1=CC(=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)C,1
1487,117704869,C1=CC(=C(C=C1Cl)NC2=C(OC3=C2C=CN=C3)N)Cl,0.2
1488,117704869,C1=CC(=C(C=C1Cl)NC2=C(OC3=C2C=CN=C3)N)Cl,1
1489,117704869,C1=CC(=C(C=C1Cl)NC2=C(OC3=C2C=CN=C3)N)Cl,1
1490,117704870,C1=CC=C(C(=C1)NC2=C(OC3=CN=C(C=C32)F)N)Cl,0.2
1491,117704870,C1=CC=C(C(=C1)NC2=C(OC3=CN=C(C=C32)F)N)Cl,0.2
1492,117704870,C1=CC=C(C(=C1)NC2=C(OC3=CN=C(C=C32)F)N)Cl,0.6
1493,117704871,C1=CC(=CC(=C1)Cl)NC2=C(OC3=CN=C(C=C32)F)N,0.2
1494,117704871,C1=CC(=CC(=C1)Cl)NC2=C(OC3=CN=C(C=C32)F)N,0.2
1495,117704871,C1=CC(=CC(=C1)Cl)NC2=C(OC3=CN=C(C=C32)F)N,0.2
1496,117704873,C1=CC(=CC(=C1)Cl)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N,0.2
1497,117704873,C1=CC(=CC(=C1)Cl)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N,0.2
1498,117704873,C1=CC(=CC(=C1)Cl)NC2=C(OC3=C2C=CN=C3C4=CC=NC=C4)N,0.2
1499,117704874,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,0.2
1500,117704874,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,0.2
1501,117704874,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC=C4Cl)N,0.2
1502,117704875,C1=CC(=C(C=C1NC2=C(OC3=CN=C(C=C32)F)N)F)F,0.2
1503,117704876,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=C(C=C4)F)N,0.2
1504,117704876,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=C(C=C4)F)N,0.2
1505,117704876,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=C(C=C4)F)N,0.2
1506,117704877,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2
1507,117704877,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2
1508,117704877,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC=CC(=C4)C(F)(F)F)N,0.2
1509,117704878,C1=CC(=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F,0.2
1510,117704878,C1=CC(=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F,0.2
1511,117704878,C1=CC(=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)F,0.2
1512,117704879,CC1=CC2=C(C=C1)SC(=C2NC3=CC(=C(C=C3)F)F)N,0.2
1513,117704879,CC1=CC2=C(C=C1)SC(=C2NC3=CC(=C(C=C3)F)F)N,0.2
1514,117704879,CC1=CC2=C(C=C1)SC(=C2NC3=CC(=C(C=C3)F)F)N,0.6
1515,117704880,C1=CC(=CC=C1C#N)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1516,117704880,C1=CC(=CC=C1C#N)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1517,117704880,C1=CC(=CC=C1C#N)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1518,117704881,C1=CC(=CC(=C1)NC2=C(OC3=CN=C(C=C32)F)N)C(F)(F)F,0.2
1519,117704881,C1=CC(=CC(=C1)NC2=C(OC3=CN=C(C=C32)F)N)C(F)(F)F,0.2
1520,117704881,C1=CC(=CC(=C1)NC2=C(OC3=CN=C(C=C32)F)N)C(F)(F)F,0.2
1521,117704882,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.2
1522,117704882,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.2
1523,117704882,CC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)F)N,0.2
1524,117704884,C1=CC2=C(C(=C1)C3=CC=NC=C3)SC(=C2NC4=CC(=C(C=C4)F)Cl)N,0.2
1525,117704884,C1=CC2=C(C(=C1)C3=CC=NC=C3)SC(=C2NC4=CC(=C(C=C4)F)Cl)N,0.2
1526,117704884,C1=CC2=C(C(=C1)C3=CC=NC=C3)SC(=C2NC4=CC(=C(C=C4)F)Cl)N,0.2
1527,117704885,C1=CC=NC(=C1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1528,117704885,C1=CC=NC(=C1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1529,117704885,C1=CC=NC(=C1)NC(=O)C2=NC=CC(=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1530,117704886,CC1=CC(=CC(=N1)C)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1531,117704886,CC1=CC(=CC(=N1)C)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1532,117704886,CC1=CC(=CC(=N1)C)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1533,117704887,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=CC=C4)Cl)N,0.2
1534,117704887,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=CC=C4)Cl)N,0.2
1535,117704887,CNC(=O)C1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=CC=C4)Cl)N,0.2
1536,117704888,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)NC4=CC(=C(C=C4)F)Cl,1
1537,117704888,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)NC4=CC(=C(C=C4)F)Cl,1
1538,117704891,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=CC=C3)NC4=CC(=C(C=C4)F)Cl,1
1539,117704891,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=CC=C3)NC4=CC(=C(C=C4)F)Cl,1
1540,117704892,CCOC(=O)NC1=C(C2=CC=CC=C2S1)NC3=CC(=C(C=C3)F)Cl,1
1541,117704892,CCOC(=O)NC1=C(C2=CC=CC=C2S1)NC3=CC(=C(C=C3)F)Cl,1
1542,117704893,C1OC2=C(O1)C=C(C=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1543,117704893,C1OC2=C(O1)C=C(C=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1544,117704893,C1OC2=C(O1)C=C(C=C2)C3=NC=CC4=C3OC(=C4NC5=CC(=C(C=C5)F)Cl)N,0.2
1545,117704895,CCC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1546,117704895,CCC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1547,117704895,CCC1=NC=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N,0.2
1548,117704902,CC1=CC(=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)C,0.2
1549,117704902,CC1=CC(=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)C,0.2
1550,117704902,CC1=CC(=CC(=C1)C2=NC=CC3=C2OC(=C3NC4=CC(=C(C=C4)F)Cl)N)C,0.2
1551,117704903,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C=CC(=C4)F)Cl)N)Cl)F,0.2
1552,117704903,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C=CC(=C4)F)Cl)N)Cl)F,0.2
1553,117704903,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3C4=C(C=CC(=C4)F)Cl)N)Cl)F,0.2
1554,117704926,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC=CC(=C3)C(F)(F)F,0.2
1555,117704926,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC=CC(=C3)C(F)(F)F,0.2
1556,117704926,C1=CC=C2C(=C1)C(=C(S2)N)NC3=CC=CC(=C3)C(F)(F)F,0.2
1557,117704927,C1=CC(=C(C=C1NC2=C(SC3=C2C=C(C=C3)Cl)N)C(F)(F)F)F,0.2
1558,117704927,C1=CC(=C(C=C1NC2=C(SC3=C2C=C(C=C3)Cl)N)C(F)(F)F)F,0.2
1559,117704927,C1=CC(=C(C=C1NC2=C(SC3=C2C=C(C=C3)Cl)N)C(F)(F)F)F,0.6
1560,117704928,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C=NC=C3)NC4=CC(=C(C=C4)F)Cl,1
1561,117704928,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C=NC=C3)NC4=CC(=C(C=C4)F)Cl,1
1562,117704928,C1=CC=C(C=C1)COC(=O)NC2=C(C3=C(O2)C=NC=C3)NC4=CC(=C(C=C4)F)Cl,1
1563,117704929,CC1=C(C(=CC=C1)NC2=C(SC3=CC=CC=C32)N)C,0.2
1564,117704929,CC1=C(C(=CC=C1)NC2=C(SC3=CC=CC=C32)N)C,1
1565,117704929,CC1=C(C(=CC=C1)NC2=C(SC3=CC=CC=C32)N)C,1
1566,117704930,C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,0.2
1567,117704930,C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,0.2
1568,117704930,C1=CC=C(C=C1)NC2=C(OC3=C2C=CN=C3)N,0.6
1569,117704931,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=C(C=C3)C(=O)N)NC4=CC(=C(C=C4)F)Cl,1
1570,117704931,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC=C(C=C3)C(=O)N)NC4=CC(=C(C=C4)F)Cl,1
1571,117704932,CC(C)(C)C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(C)(C)C,1
1572,117704932,CC(C)(C)C1=CC(=CC(=C1)NC2=C(OC3=C2C=CN=C3)N)C(C)(C)C,1
1573,117704933,CC1=C(C=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)Cl,0.2
1574,117704933,CC1=C(C=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)Cl,0.2
1575,117704933,CC1=C(C=C(C=C1)NC2=C(OC3=C2C=CN=C3)N)Cl,0.2
1576,117704934,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)Cl,1
1577,117704934,C1=CC(=C(C(=C1NC2=C(OC3=C2C=CN=C3)N)Cl)Cl)Cl,1
1578,117704935,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)OC(F)(F)F,1
1579,117704935,C1=CC(=CC=C1NC2=C(OC3=C2C=CN=C3)N)OC(F)(F)F,1
1580,117704936,C1=CC(=CN=C1)NC2=C(OC3=C2C=CN=C3)N,1
1581,117704936,C1=CC(=CN=C1)NC2=C(OC3=C2C=CN=C3)N,1
1582,117704937,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1
1583,117704937,CCOC(=O)NC1=C(C2=C(O1)C(=NC=C2)C3=CC(=NC(=C3)C)C)N(C4=CC(=C(C=C4)F)Cl)C(=O)OCC,1
1584,117704938,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Cl)N)Cl)F,0.2
1585,117704938,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Cl)N)Cl)F,0.2
1586,117704938,C1=CC(=C(C=C1NC2=C(OC3=C2C=CN=C3Cl)N)Cl)F,0.2
1587,117704939,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C=C3F)F)Cl,0.2
1588,117704939,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C=C3F)F)Cl,1
1589,117704939,C1=CN=CC2=C1C(=C(O2)N)NC3=CC(=C(C=C3F)F)Cl,1
1590,117704941,C1=CN=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=CC(=C4)F)F)N,0.2
1591,117704941,C1=CN=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=CC(=C4)F)F)N,0.2
1592,117704941,C1=CN=CC=C1C2=NC=CC3=C2OC(=C3NC4=CC(=CC(=C4)F)F)N,0.6
1593,117704942,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)F)F,0.2
1594,117704942,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)F)F,0.2
1595,117704942,C1=CC(=C(C=C1NC2=C(OC3=C(N=C(C=C23)F)C4=CC=NC=C4)N)F)F,0.2
